ImageId;fileName
48113;S:\CNTKFiles\IsFundusImage\images\0 Non 1 fcb94c5d-6bb2-4c62-a6b1-397c5abd4cd4.bmp
189650;S:\CNTKFiles\IsFundusImage\images\1 Non 1 314d2c71-7d17-49f5-869f-04d82e170409.bmp
207000;S:\CNTKFiles\IsFundusImage\images\1 Non 1 0e2a513b-52d6-464c-9b37-73eaae7f9514.bmp
190856;S:\CNTKFiles\IsFundusImage\images\1 Non 1 672788a3-d91c-4193-b7dd-9475f392e929.bmp
66931;S:\CNTKFiles\IsFundusImage\images\1 Non 1 8f0235af-6d63-4823-8a89-f8759ddb601d.jpg
48144;S:\CNTKFiles\IsFundusImage\images\0 Non 1 e027b28f-edde-4449-be65-3c92050b526e.bmp
63411;S:\CNTKFiles\IsFundusImage\images\0 Non 1 5e75eca1-4881-4466-9db7-a4d7d3cc9e2c.jpg
121701;S:\CNTKFiles\IsFundusImage\images\1 Non 1 727b000e-a130-4595-a903-5c463ef72cce.bmp
33280;S:\CNTKFiles\IsFundusImage\images\0 Non 1 73a79e7b-b6fa-43d0-87d4-273996c62a5f.png
34189;S:\CNTKFiles\IsFundusImage\images\1 Non 1 b4ebbf4a-0f62-4efb-95e3-fdb9fa8af529.jpg
194825;S:\CNTKFiles\IsFundusImage\images\1 Non 1 185f0050-b444-4186-900e-cf0ffb3e0039.bmp
206075;S:\CNTKFiles\IsFundusImage\images\0 Non 1 3c64a53b-55f4-45c7-a444-287d9ac1108d.bmp
248623;S:\CNTKFiles\IsFundusImage\images\1 Non 1 e1590d48-eb91-4ce1-b7d1-e065b5d7d49a.bmp
66987;S:\CNTKFiles\IsFundusImage\images\1 Non 1 237ea6b7-0d3e-4c52-9dbb-3060a7716ce9.jpg
27198;S:\CNTKFiles\IsFundusImage\images\0 Non 1 ada9f7d2-36cb-44d3-b417-5d5fafa13e66.jpeg
259442;S:\CNTKFiles\IsFundusImage\images\1 Non 1 814af066-e76a-4d3e-8f4c-2a63a8ce387a.bmp
184648;S:\CNTKFiles\IsFundusImage\images\1 Non 1 8267f6a0-6a4d-4dc9-b5ab-a0b6185e2558.bmp
218589;S:\CNTKFiles\IsFundusImage\images\0 Non 1 1c8b0dce-3362-4cf4-8bc1-132caf1b3e15.bmp
225733;S:\CNTKFiles\IsFundusImage\images\1 Non 1 fc5a6177-91d4-4bf5-8d8b-cfe2b8c7aab1.bmp
65553;S:\CNTKFiles\IsFundusImage\images\1 Non 1 d838997a-75de-4f65-b225-fe76cdd4ca41.jpg
8574;S:\CNTKFiles\IsFundusImage\images\1 Non 1 14b10af8-5a11-4839-b500-fa9469ce392b.bmp
41209;S:\CNTKFiles\IsFundusImage\images\1 Non 1 38aee7af-0092-4a30-8696-f218b0025bb6.jpeg
65900;S:\CNTKFiles\IsFundusImage\images\1 Non 1 2fda68eb-49f8-4906-be6b-bcb0818f15a0.jpg
108131;S:\CNTKFiles\IsFundusImage\images\1 Non 1 98fc3ff0-fbcf-40da-bf96-db1e0f6a92ac.jpg
246752;S:\CNTKFiles\IsFundusImage\images\1 Non 1 296bd628-b401-49d7-8482-58fa961dfa01.bmp
42087;S:\CNTKFiles\IsFundusImage\images\1 Non 1 53423f64-8a24-4ab5-a953-4e871c897f44.jpeg
127451;S:\CNTKFiles\IsFundusImage\images\0 Non 1 e02b1978-d78d-496d-8882-54eb423dd555.bmp
164892;S:\CNTKFiles\IsFundusImage\images\1 Non 1 1d551b6d-ac8f-4a2a-94ba-bccf473833dd.bmp
213799;S:\CNTKFiles\IsFundusImage\images\1 Non 1 38edb484-d043-43d5-9efa-0e3ee2b67e7b.bmp
69823;S:\CNTKFiles\IsFundusImage\images\1 Non 1 72f3de67-d82a-4db4-9f46-80b8691faa1f.png
167041;S:\CNTKFiles\IsFundusImage\images\1 Non 1 72b1a3d6-4b1c-4ba0-baaa-c117e8093e48.bmp
192909;S:\CNTKFiles\IsFundusImage\images\1 Non 1 7ebf153e-b1e1-45e2-a0f6-dbedc6bfebc7.bmp
56794;S:\CNTKFiles\IsFundusImage\images\0 Non 1 84626d8d-047a-42f0-9060-053b3c8cc112.bmp
30409;S:\CNTKFiles\IsFundusImage\images\1 Non 1 d89e798c-ddbe-4113-9024-eaeb8b8d38c4.jpeg
58353;S:\CNTKFiles\IsFundusImage\images\0 Non 1 341291b8-4fe6-42f6-9d0f-6a0e1384ac51.bmp
208416;S:\CNTKFiles\IsFundusImage\images\1 Non 1 3bdb4a98-b878-4219-bd69-2a5a748b2a42.bmp
173780;S:\CNTKFiles\IsFundusImage\images\1 Non 1 243bfbce-3291-49a9-9ee7-34d3b4ec9b4b.bmp
122584;S:\CNTKFiles\IsFundusImage\images\1 Non 1 69dd03d3-a7d5-4d1f-ab79-d78300ab7f2b.bmp
217053;S:\CNTKFiles\IsFundusImage\images\0 Non 1 acd271e5-025b-4ff9-94b1-e70ef880e087.bmp
157970;S:\CNTKFiles\IsFundusImage\images\1 Non 1 f904c199-104d-44f3-bc9e-cbc24baad1fa.bmp
175685;S:\CNTKFiles\IsFundusImage\images\1 Non 1 46763776-39e2-4053-bd54-eab73748ebd9.bmp
112932;S:\CNTKFiles\IsFundusImage\images\1 Non 1 bd0328ae-9b96-4aca-b957-271785e8c89a.jpg
239891;S:\CNTKFiles\IsFundusImage\images\1 Non 1 26ef6c6c-d200-4dd7-ba58-94e1c3252f1a.bmp
