Id,Accuracy,Epochs,Batch_size,Learning_rate,Loss_func,Optimizer_func,Timestamp
52f0c5a3-a23c-4030-9585-aeed5b84383b,49.65831435079727,5,16,0.001,CrossEntropyLoss,SGD,2022-01-06 11:03:43.997831
a594f82f-da9a-4de0-b939-b98f3dc5e81d,68.3371298405467,5,128,0.001,CrossEntropyLoss,SGD,2022-01-06 11:45:54.800060
66033e5b-6533-456d-93f0-747a1390bb9f,70.84282460136674,5,16,0.001,CrossEntropyLoss,SGD,2022-01-06 12:11:25.784537
8f035e40-8f2a-4689-bbfe-c85a0e1b62de,69.93166287015946,5,16,0.001,CrossEntropyLoss,SGD,2022-01-06 12:32:16.039299
56ba686d-0183-48f2-9bf3-9168dbee5ce7,50.11389521640092,1,4,0.001,BCEWithLogitsLoss,SGD,2022-01-07 16:50:19.579786
04f6adcd-e1de-49b6-ac76-201371093635,49.430523917995444,1,4,0.001,BCEWithLogitsLoss,SGD,2022-01-07 17:40:23.909650
b48f650f-f523-4689-b580-a0999973f032,85.19362186788155,10,16,0.001,BCEWithLogitsLoss,Adam,2022-01-07 18:42:55.570697
8bf3da1a-ac9f-4567-a99b-a181612beaa9,87.47152619589977,10,16,0.001,BCEWithLogitsLoss,Adam,2022-01-08 02:07:35.827665
9babc9e0-e340-49b7-9a77-7ae631eb2544,84.51025056947609,10,16,0.001,BCEWithLogitsLoss,Adam,2022-01-08 10:24:03.835369
3b780c3b-6961-47ea-9308-2cb18b3ee2a0,86.328125,10,16,0.001,BCEWithLogitsLoss,Adam,2022-01-08 12:16:51.528077
730381bd-f2e0-4909-8c7f-4dcbc41b6114,50.34168564920274,5,16,0.001,BCEWithLogitsLoss,Adam,2022-01-10 09:03:14.176677
